Date,Day,Petrol Price,Diesel Price,Dollar Value,Oil Barrel,Barrel Cost,Moving Avg
10-Jan-18,Wednesday,73.21,64.09,63.768,63.57,4053.73176,3969.906524
11-Jan-18,Thursday,73.25,64.28,63.6912,63.8,4063.49856,4010.54034
12-Jan-18,Friday,73.33,64.48,63.6094,64.3,4090.08442,4053.670241
13-Jan-18,Saturday,73.53,64.7,63.5933,64.29,4088.413257,4073.931999
14-Jan-18,Sunday,73.67,64.89,63.5986,64.28,4088.118008,4082.528561
15-Jan-18,Monday,73.8,65.08,63.5281,64.73,4112.173913,4094.6974
16-Jan-18,Tuesday,73.89,65.23,64.0186,63.73,4079.905378,4092.152639
17-Jan-18,Wednesday,74.02,65.42,63.8344,63.97,4083.486568,4090.920967
18-Jan-18,Thursday,74.2,65.63,63.8754,63.95,4084.83183,4090.099422
19-Jan-18,Friday,74.35,65.83,63.8444,63.37,4045.819628,4073.510851
20-Jan-18,Saturday,74.55,66.03,63.8444,63.41,4048.373404,4065.627858
21-Jan-18,Sunday,74.75,66.25,63.8393,63.45,4050.603585,4057.407112
22-Jan-18,Monday,74.91,66.44,63.8881,63.49,4056.255469,4050.263022
23-Jan-18,Tuesday,75.06,66.64,63.7601,64.47,4110.613647,4066.461526
24-Jan-18,Wednesday,75.12,66.84,63.5864,65.61,4171.903704,4097.344101
25-Jan-18,Thursday,75.18,67,63.5764,65.51,4164.889964,4125.915696
26-Jan-18,Friday,75.33,67.12,63.6022,66.14,4206.649508,4163.514206
27-Jan-18,Saturday,75.42,67.23,63.6022,66.28,4215.553816,4189.749248
28-Jan-18,Sunday,75.47,67.34,63.5938,66.42,4223.900196,4202.748371
29-Jan-18,Monday,75.55,67.42,63.6797,65.56,4174.841132,4205.236163
30-Jan-18,Tuesday,75.63,67.5,63.7809,64.5,4113.86805,4182.040799
31-Jan-18,Wednesday,75.63,67.5,63.6748,64.73,4121.669804,4158.569796
01-Feb-18,Thursday,75.77,67.62,63.8983,65.8,4204.50814,4153.721782
02-Feb-18,Friday,75.82,67.62,64.2115,65.45,4202.642675,4160.672167
03-Feb-18,Saturday,75.81,67.57,64.1779,65.35,4194.025765,4180.711596
04-Feb-18,Sunday,75.88,67.57,64.1414,65.25,4185.22635,4196.600733
05-Feb-18,Monday,76.04,67.65,64.3249,64.15,4126.442335,4177.084281
06-Feb-18,Tuesday,76.12,67.73,64.2107,63.39,4070.316273,4144.002681
07-Feb-18,Wednesday,76.12,67.73,64.2079,61.79,3967.406141,4087.347775
08-Feb-18,Thursday,76.11,67.66,64.4484,61.15,3941.01966,4026.296102
09-Feb-18,Friday,76.08,67.62,64.2211,59.2,3801.88912,3945.157799
10-Feb-18,Saturday,76.06,67.55,64.2214,59.23,3803.833522,3878.537111
11-Feb-18,Sunday,75.95,67.39,64.2527,59.26,3807.615002,3838.589326
12-Feb-18,Monday,75.73,67.09,64.289,59.29,3811.69481,3806.258114
13-Feb-18,Tuesday,75.65,66.96,64.264,59.19,3803.78616,3806.732374
14-Feb-18,Wednesday,75.65,66.96,64.0357,60.6,3880.56342,3825.914848
15-Feb-18,Thursday,75.49,66.77,63.9017,61.34,3919.730278,3853.943667
16-Feb-18,Friday,75.21,66.45,64.3872,61.68,3971.402496,3893.870589
17-Feb-18,Saturday,74.91,66.17,64.39,61.7,3972.863,3936.139799
18-Feb-18,Sunday,74.74,65.96,64.39,61.72,3974.1508,3959.536644
19-Feb-18,Monday,74.58,65.83,64.5157,62.38,4024.489366,3985.726416
20-Feb-18,Tuesday,74.38,65.67,64.8749,61.9,4015.75631,3996.814869
21-Feb-18,Wednesday,74.37,65.68,64.9029,61.68,4003.210872,4004.401837
22-Feb-18,Thursday,74.35,65.67,64.9635,62.77,4077.758895,4030.303861
23-Feb-18,Friday,74.25,65.58,64.9,63.55,4124.395,4055.280269
24-Feb-18,Saturday,74.16,65.51,64.8976,63.67,4132.030192,4084.34874
25-Feb-18,Sunday,74.14,65.49,64.7647,63.79,4131.340213,4116.381075
26-Feb-18,Monday,74.17,65.54,64.788,63.91,4140.60108,4132.091621
27-Feb-18,Tuesday,74.15,65.52,64.9217,63.01,4090.716317,4123.671951
28-Feb-18,Wednesday,74.15,65.52,65.2619,61.64,4022.743516,4096.350282
01-Mar-18,Thursday,74.21,65.63,65.1559,60.99,3973.858341,4056.979814
02-Mar-18,Friday,74.4,65.87,65.1967,61.25,3993.297875,4020.154012
03-Mar-18,Saturday,74.66,66.1,65.1953,61.36,4000.383608,3997.570835
04-Mar-18,Sunday,74.94,66.3,65.1967,61.46,4006.989182,3993.632252
05-Mar-18,Monday,75,66.31,65.0162,62.57,4068.063634,4017.183575
06-Mar-18,Tuesday,75.07,66.39,64.8423,62.6,4059.12798,4033.641101
07-Mar-18,Wednesday,75.07,66.39,64.8985,61.15,3968.543275,4025.681018
08-Mar-18,Thursday,75.07,66.33,65.0981,60.12,3913.697772,4002.358165
09-Mar-18,Friday,75.12,66.3,64.9499,62.04,4029.491796,3992.715206
10-Mar-18,Saturday,75.15,66.3,64.9499,62.15,4036.636285,3987.092282
11-Mar-18,Sunday,75.17,66.31,64.9727,62.25,4044.550575,4006.094107
12-Mar-18,Monday,75.14,66.29,64.9602,61.36,3985.957872,4024.159132
13-Mar-18,Tuesday,75.16,66.27,64.8445,60.71,3936.709595,4000.963582
14-Mar-18,Wednesday,75.16,66.27,64.8429,60.96,3952.823184,3980.010307
15-Mar-18,Thursday,75.14,66.29,65.0181,61.19,3978.457539,3963.487048
16-Mar-18,Friday,75.05,66.23,65.075,62.34,4056.7755,3981.191455
17-Mar-18,Saturday,74.95,66.15,65.075,62.25,4050.91875,4009.743743
18-Mar-18,Sunday,74.87,66.12,65.079,62.15,4044.65985,4032.70291
19-Mar-18,Monday,74.86,66.14,65.2205,62.06,4047.58423,4049.984583
20-Mar-18,Tuesday,74.87,66.21,65.2401,63.4,4136.22234,4069.846293
21-Mar-18,Wednesday,74.87,66.21,65.075,65.17,4240.93775,4117.351043
22-Mar-18,Thursday,74.94,66.3,65.1698,64.3,4190.41814,4153.790615
23-Mar-18,Friday,74.98,66.44,65.0137,65.88,4283.102556,4212.670197
24-Mar-18,Saturday,75.06,66.64,65.025,65.77,4276.69425,4247.788174
25-Mar-18,Sunday,75.24,66.89,65.0214,65.66,4269.305124,4254.880018
26-Mar-18,Monday,75.49,67.14,64.7068,65.55,4241.53074,4267.658168
27-Mar-18,Tuesday,75.61,67.25,64.9027,65.25,4234.901175,4255.607822
28-Mar-18,Wednesday,75.61,67.25,65.1553,64.38,4194.698214,4235.108813
29-Mar-18,Thursday,75.8,67.41,65.0346,64.94,4223.346924,4223.619263
30-Mar-18,Friday,76.04,67.65,65.0795,64.46,4195.02457,4211.992721
31-Mar-18,Saturday,76.29,67.93,65.0815,63.98,4163.91437,4194.24602
01-Apr-18,Sunday,76.48,68.12,65.1161,63.5,4134.87235,4179.289554
02-Apr-18,Monday,76.59,68.24,65.1342,63.01,4104.105942,4149.479308
03-Apr-18,Tuesday,76.72,68.38,64.915,63.51,4122.75165,4131.411078
04-Apr-18,Wednesday,76.72,68.38,65.0428,63.37,4121.762236,4120.873045
05-Apr-18,Thursday,76.75,68.41,64.891,63.54,4123.17414,4117.948492
06-Apr-18,Friday,76.75,68.44,64.9193,62.06,4028.891758,4099.144946
07-Apr-18,Saturday,76.77,68.48,64.9211,62.18,4036.793998,4077.655533
08-Apr-18,Sunday,76.8,68.53,64.9171,62.3,4044.33533,4058.298807
09-Apr-18,Monday,76.76,68.49,64.8755,63.42,4114.40421,4056.106324
10-Apr-18,Tuesday,76.75,68.53,64.9484,65.51,4254.769684,4112.575806
11-Apr-18,Wednesday,76.75,68.53,65.195,66.82,4356.3299,4192.459781
12-Apr-18,Thursday,76.71,68.49,65.2892,67.07,4378.946644,4276.11261
13-Apr-18,Friday,76.67,68.53,65.2061,67.39,4394.239079,4346.071327
14-Apr-18,Saturday,76.69,68.58,65.2061,67,4368.8087,4374.581081
15-Apr-18,Sunday,76.75,68.67,65.2062,66.61,4343.384982,4371.344851
16-Apr-18,Monday,76.79,68.76,65.4679,66.22,4335.284338,4360.429275
17-Apr-18,Tuesday,76.79,68.76,65.6812,66.52,4369.113424,4354.147861
18-Apr-18,Wednesday,76.79,68.76,65.7202,68.47,4499.862094,4386.91121
19-Apr-18,Thursday,76.84,68.86,66.1255,68.29,4515.710395,4429.992563
20-Apr-18,Friday,76.85,68.9,66.2084,68.38,4527.330392,4478.004076
21-Apr-18,Saturday,76.99,69.06,66.1991,68.47,4532.652377,4518.888815
22-Apr-18,Sunday,77.19,69.27,66.2062,68.55,4538.43501,4528.532044
23-Apr-18,Monday,77.29,69.37,66.5468,68.64,4567.772352,4541.547533
24-Apr-18,Tuesday,77.43,69.56,66.4159,67.7,4496.35643,4533.804042
25-Apr-18,Wednesday,77.43,69.56,66.92,68.05,4553.906,4539.117448
26-Apr-18,Thursday,77.43,69.56,66.91,68.19,4562.5929,4545.156921
27-Apr-18,Friday,77.43,69.56,66.5139,68.1,4529.59659,4535.61298
28-Apr-18,Saturday,77.43,69.56,66.5139,68.27,4540.903953,4546.749861
29-Apr-18,Sunday,77.43,69.56,66.5735,68.42,4554.95887,4547.013078
30-Apr-18,Monday,77.43,69.56,66.4627,68.57,4557.347339,4545.701688
01-May-18,Tuesday,77.43,69.56,66.7989,67.25,4492.226025,4536.359047
02-May-18,Wednesday,77.43,69.56,66.8117,67.93,4538.518781,4535.762754
03-May-18,Thursday,77.43,69.56,66.6701,68.43,4562.234943,4537.581772
04-May-18,Friday,77.43,69.56,66.8203,69.72,4658.711316,4562.922766
05-May-18,Saturday,77.43,69.56,66.8208,70.05,4680.79704,4610.06552
06-May-18,Sunday,77.43,69.56,66.8201,70.39,4703.466839,4651.302535
07-May-18,Monday,77.43,69.56,67.1331,70.73,4748.324163,4697.82484
08-May-18,Tuesday,77.43,69.56,67.1701,69.06,4638.767106,4692.838787
09-May-18,Wednesday,77.43,69.56,67.3492,71.14,4791.222088,4720.445049
10-May-18,Thursday,77.43,69.56,67.105,71.36,4788.6128,4741.731539
11-May-18,Friday,77.43,69.56,67.3934,70.7,4764.71338,4745.828844
12-May-18,Saturday,77.43,69.56,67.3916,70.79,4770.651364,4778.799908
13-May-18,Sunday,77.43,69.56,67.3759,70.86,4774.256274,4774.558455
